Abbreviation,VARIABLE,International_Destination,Year,Value
AUT,DEU,Germany,2019,2559000
AUT,DEU,Germany,2020,1153537
AUT,DEU,Germany,2021,1633063
AUT,GRC,Greece,2008,348637.278
AUT,GRC,Greece,2009,399235.517
AUT,GRC,Greece,2010,280227.389
AUT,GRC,Greece,2011,273244.384
AUT,GRC,Greece,2012,263450.609
AUT,GRC,Greece,2013,386996
AUT,GRC,Greece,2014,380398
AUT,GRC,Greece,2015,351783
AUT,GRC,Greece,2016,368657
AUT,GRC,Greece,2017,374949
AUT,GRC,Greece,2018,322352
AUT,GRC,Greece,2019,577451
AUT,GRC,Greece,2020,92828
AUT,GRC,Greece,2021,469132
AUT,ITA,Italy,2008,1766105.544
AUT,ITA,Italy,2009,1893245.608
AUT,ITA,Italy,2010,1845741.06
AUT,ITA,Italy,2011,1973078.717
AUT,ITA,Italy,2012,2083443.325
AUT,ITA,Italy,2013,1931612
AUT,ITA,Italy,2014,2032914
AUT,ITA,Italy,2015,1971202
AUT,ITA,Italy,2016,2177651
AUT,ITA,Italy,2017,2220578
AUT,ITA,Italy,2018,2057542
AUT,ITA,Italy,2019,2269219
AUT,ITA,Italy,2020,749109
AUT,ITA,Italy,2021,1994045
AUT,ESP,Spain,2008,503593
AUT,ESP,Spain,2009,484850
AUT,ESP,Spain,2010,574783
AUT,ESP,Spain,2011,574526
AUT,ESP,Spain,2012,571173
AUT,ESP,Spain,2013,486934
AUT,ESP,Spain,2014,576282
AUT,ESP,Spain,2015,592232
AUT,ESP,Spain,2016,627857
AUT,ESP,Spain,2017,620400
AUT,ESP,Spain,2018,503622
AUT,ESP,Spain,2019,628941
AUT,ESP,Spain,2020,128690
AUT,ESP,Spain,2021,351169
CZE,AUT,Austria,2011,500112
CZE,AUT,Austria,2012,478142
CZE,AUT,Austria,2013,577410
CZE,AUT,Austria,2014,569707
CZE,AUT,Austria,2015,492289.906
CZE,AUT,Austria,2016,588543.72
CZE,AUT,Austria,2017,657013.836
CZE,AUT,Austria,2018,676448.061
CZE,AUT,Austria,2019,692036.174
CZE,AUT,Austria,2020,465394.11
CZE,HRV,Croatia,2011,792956
CZE,HRV,Croatia,2012,806383
CZE,HRV,Croatia,2013,796858
CZE,HRV,Croatia,2014,784864
CZE,HRV,Croatia,2015,721435.724
CZE,HRV,Croatia,2016,828268.672
CZE,HRV,Croatia,2017,850056.54
CZE,HRV,Croatia,2018,812856.458
CZE,HRV,Croatia,2019,739630.346
CZE,HRV,Croatia,2020,411855.97
CZE,GRC,Greece,2011,318354
CZE,GRC,Greece,2012,314481
CZE,GRC,Greece,2013,338691
CZE,GRC,Greece,2014,291385
CZE,GRC,Greece,2015,252913.454
CZE,GRC,Greece,2016,265310.252
CZE,GRC,Greece,2017,370822.338
CZE,GRC,Greece,2018,471975.255
CZE,GRC,Greece,2019,406823.293
CZE,ITA,Italy,2011,562627
CZE,ITA,Italy,2012,549352
CZE,ITA,Italy,2013,525925
CZE,ITA,Italy,2014,552528
CZE,ITA,Italy,2015,497231.818
CZE,ITA,Italy,2016,552433.023
CZE,ITA,Italy,2017,635854.35
CZE,ITA,Italy,2018,607002.089
CZE,ITA,Italy,2019,605193.352
CZE,SVK,Slovak Republic,2011,944006
CZE,SVK,Slovak Republic,2012,1025036
CZE,SVK,Slovak Republic,2013,949119
CZE,SVK,Slovak Republic,2014,940938
CZE,SVK,Slovak Republic,2015,1386061.412
CZE,SVK,Slovak Republic,2016,1150561.764
CZE,SVK,Slovak Republic,2017,1270534.424
CZE,SVK,Slovak Republic,2018,1503995.382
CZE,SVK,Slovak Republic,2019,1357036.168
CZE,SVK,Slovak Republic,2020,670230.58
FIN,EST,Estonia,2012,2140000
FIN,EST,Estonia,2013,2030000
FIN,EST,Estonia,2014,2010000
FIN,EST,Estonia,2015,2090000
FIN,EST,Estonia,2016,2170000
FIN,EST,Estonia,2017,2060000
FIN,EST,Estonia,2018,1670000
FIN,EST,Estonia,2019,1600000
FIN,EST,Estonia,2020,620000
FIN,EST,Estonia,2021,390000
FIN,DEU,Germany,2012,200000
FIN,DEU,Germany,2013,170000
FIN,DEU,Germany,2014,180000
FIN,DEU,Germany,2015,270000
FIN,DEU,Germany,2016,260000
FIN,DEU,Germany,2017,310000
FIN,DEU,Germany,2018,330000
FIN,DEU,Germany,2019,310000
FIN,DEU,Germany,2020,150000
FIN,DEU,Germany,2021,100000
FIN,RUS,Russian Federation,2012,400000
FIN,RUS,Russian Federation,2013,370000
FIN,RUS,Russian Federation,2014,310000
FIN,RUS,Russian Federation,2015,310000
FIN,RUS,Russian Federation,2016,390000
FIN,RUS,Russian Federation,2017,340000
FIN,RUS,Russian Federation,2018,300000
FIN,ESP,Spain,2012,670000
FIN,ESP,Spain,2013,690000
FIN,ESP,Spain,2014,790000
FIN,ESP,Spain,2015,700000
FIN,ESP,Spain,2016,830000
FIN,ESP,Spain,2017,820000
FIN,ESP,Spain,2018,880000
FIN,ESP,Spain,2019,790000
FIN,ESP,Spain,2020,270000
FIN,ESP,Spain,2021,230000
FIN,SWE,Sweden,2012,1960000
FIN,SWE,Sweden,2013,1810000
FIN,SWE,Sweden,2014,1830000
FIN,SWE,Sweden,2015,1640000
FIN,SWE,Sweden,2016,1830000
FIN,SWE,Sweden,2017,1670000
FIN,SWE,Sweden,2018,1790000
FIN,SWE,Sweden,2019,1780000
FIN,SWE,Sweden,2020,350000
FIN,SWE,Sweden,2021,420000
FRA,BEL,Belgium,2008,1276140.26
FRA,BEL,Belgium,2009,1227555.834
FRA,BEL,Belgium,2010,1257965.28
FRA,BEL,Belgium,2011,1427994.518
FRA,BEL,Belgium,2012,1409823.764
FRA,BEL,Belgium,2013,1589161.626
FRA,BEL,Belgium,2014,1824457.365
FRA,BEL,Belgium,2015,1822268.478
FRA,BEL,Belgium,2016,1613144.887
FRA,BEL,Belgium,2017,1659780.544
FRA,BEL,Belgium,2018,1726655.961
FRA,BEL,Belgium,2019,2011876
FRA,BEL,Belgium,2020,997574
FRA,BEL,Belgium,2021,931019
FRA,DEU,Germany,2008,1103205.49
FRA,DEU,Germany,2009,1063087.13
FRA,DEU,Germany,2010,1120293.11
FRA,DEU,Germany,2011,1170365.41
FRA,DEU,Germany,2012,1249043.849
FRA,DEU,Germany,2013,1274422.828
FRA,DEU,Germany,2014,1428722.923
FRA,DEU,Germany,2015,1241476.12
FRA,DEU,Germany,2016,1308850.765
FRA,DEU,Germany,2017,1371509.877
FRA,DEU,Germany,2018,1471873.165
FRA,DEU,Germany,2019,1509369
FRA,DEU,Germany,2020,531665
FRA,DEU,Germany,2021,686007
FRA,GB,Great Britain,2008,1364397.15
FRA,GB,Great Britain,2009,1790124.836
FRA,GB,Great Britain,2010,1760967.301
FRA,GB,Great Britain,2011,1958658.657
FRA,GB,Great Britain,2012,1594803.069
FRA,GB,Great Britain,2013,1677742.632
FRA,GB,Great Britain,2014,1964500.869
FRA,GB,Great Britain,2015,1668035.751
FRA,GB,Great Britain,2016,1813451.262
FRA,GB,Great Britain,2017,1988930.449
FRA,GB,Great Britain,2018,1803960.402
FRA,GB,Great Britain,2019,2576722
FRA,GB,Great Britain,2020,595862
FRA,GB,Great Britain,2021,249966
FRA,ITA,Italy,2008,2714026.272
FRA,ITA,Italy,2009,2714026.272
FRA,ITA,Italy,2010,2714026.272
FRA,ITA,Italy,2011,2714026.272
FRA,ITA,Italy,2012,2505473.364
FRA,ITA,Italy,2013,2692525.034
FRA,ITA,Italy,2014,2948492.874
FRA,ITA,Italy,2015,3174681.915
FRA,ITA,Italy,2016,3027309.554
FRA,ITA,Italy,2017,3192248.16
FRA,ITA,Italy,2018,3311191.54
FRA,ITA,Italy,2019,3847364
FRA,ITA,Italy,2020,1148763
FRA,ITA,Italy,2021,1556118
FRA,ESP,Spain,2008,3729095.763
FRA,ESP,Spain,2009,3729095.763
FRA,ESP,Spain,2010,3729095.763
FRA,ESP,Spain,2011,3729095.763
FRA,ESP,Spain,2012,3795517.828
FRA,ESP,Spain,2013,3776019.547
FRA,ESP,Spain,2014,4182233.91
FRA,ESP,Spain,2015,4430195.456
FRA,ESP,Spain,2016,4205934.919
FRA,ESP,Spain,2017,4428815.576
FRA,ESP,Spain,2018,4526149.671
FRA,ESP,Spain,2019,6175196.701
FRA,ESP,Spain,2020,1651995.326
FRA,ESP,Spain,2021,2989853.249
GRC,AUT,Austria,2008,112655
GRC,AUT,Austria,2009,97175
GRC,AUT,Austria,2010,123234
GRC,AUT,Austria,2011,142895
GRC,AUT,Austria,2012,97809
GRC,AUT,Austria,2013,98024
GRC,AUT,Austria,2014,142440
GRC,AUT,Austria,2015,132464
GRC,AUT,Austria,2016,141353
GRC,AUT,Austria,2017,120727
GRC,AUT,Austria,2018,121037
GRC,AUT,Austria,2019,177789.381
GRC,AUT,Austria,2020,69796.519
GRC,AUT,Austria,2021,60649.738
GRC,FRA,France,2008,181615
GRC,FRA,France,2009,161844
GRC,FRA,France,2010,159251
GRC,FRA,France,2011,178962
GRC,FRA,France,2012,160304
GRC,FRA,France,2013,149622
GRC,FRA,France,2014,129863
GRC,FRA,France,2015,142085
GRC,FRA,France,2016,154771
GRC,FRA,France,2017,148088
GRC,FRA,France,2018,174947
GRC,FRA,France,2019,189161.606
GRC,FRA,France,2020,63503.05
GRC,FRA,France,2021,93193.647
GRC,DEU,Germany,2008,353769
GRC,DEU,Germany,2009,377137
GRC,DEU,Germany,2010,354327
GRC,DEU,Germany,2011,457559
GRC,DEU,Germany,2012,416847
GRC,DEU,Germany,2013,356938
GRC,DEU,Germany,2014,468852
GRC,DEU,Germany,2015,399964
GRC,DEU,Germany,2016,443904
GRC,DEU,Germany,2017,420761
GRC,DEU,Germany,2018,499629
GRC,DEU,Germany,2019,583697.386
GRC,DEU,Germany,2020,226763.149
GRC,DEU,Germany,2021,224810.516
GRC,ITA,Italy,2008,427569
GRC,ITA,Italy,2009,371753
GRC,ITA,Italy,2010,351982
GRC,ITA,Italy,2011,325496
GRC,ITA,Italy,2012,286179
GRC,ITA,Italy,2013,310207
GRC,ITA,Italy,2014,291976
GRC,ITA,Italy,2015,297234
GRC,ITA,Italy,2016,363858
GRC,ITA,Italy,2017,350823
GRC,ITA,Italy,2018,404968
GRC,ITA,Italy,2019,438340.414
GRC,ITA,Italy,2020,145695.305
GRC,ITA,Italy,2021,183591.797
GRC,GBR,United Kingdom,2008,238493
GRC,GBR,United Kingdom,2009,254976
GRC,GBR,United Kingdom,2010,231350
GRC,GBR,United Kingdom,2011,240765
GRC,GBR,United Kingdom,2012,276219
GRC,GBR,United Kingdom,2013,213489
GRC,GBR,United Kingdom,2014,271101
GRC,GBR,United Kingdom,2015,270348
GRC,GBR,United Kingdom,2016,290323
GRC,GBR,United Kingdom,2017,298320
GRC,GBR,United Kingdom,2018,329926
GRC,GBR,United Kingdom,2019,373135.58
GRC,GBR,United Kingdom,2020,111753.326
GRC,GBR,United Kingdom,2021,112461.231
ITA,FRA,France,2008,5067929.166
ITA,FRA,France,2009,5689354.694
ITA,FRA,France,2010,5632597.994
ITA,FRA,France,2011,5145001.551
ITA,FRA,France,2012,5428918.64
ITA,FRA,France,2013,4933798.63
ITA,FRA,France,2014,5411058.966
ITA,FRA,France,2015,5769223.109
ITA,FRA,France,2016,5532409.331
ITA,FRA,France,2017,5525259.621
ITA,FRA,France,2018,5786958.373
ITA,FRA,France,2019,5630597.991
ITA,FRA,France,2020,2522092.424
ITA,FRA,France,2021,2666681.637
ITA,DEU,Germany,2008,2518016.014
ITA,DEU,Germany,2009,2387724.304
ITA,DEU,Germany,2010,2509924.341
ITA,DEU,Germany,2011,2362004.894
ITA,DEU,Germany,2012,2455985.643
ITA,DEU,Germany,2013,2197680.349
ITA,DEU,Germany,2014,2286653.267
ITA,DEU,Germany,2015,2281269.894
ITA,DEU,Germany,2016,2587391.55
ITA,DEU,Germany,2017,2768985.929
ITA,DEU,Germany,2018,3048410.756
ITA,DEU,Germany,2019,3517046.208
ITA,DEU,Germany,2020,1396226.795
ITA,DEU,Germany,2021,1155023.628
ITA,ESP,Spain,2008,2320306.916
ITA,ESP,Spain,2009,2054756.685
ITA,ESP,Spain,2010,2551663.513
ITA,ESP,Spain,2011,2860127.315
ITA,ESP,Spain,2012,2523110.722
ITA,ESP,Spain,2013,2237948.73
ITA,ESP,Spain,2014,2365435.335
ITA,ESP,Spain,2015,2526077.262
ITA,ESP,Spain,2016,2702758.458
ITA,ESP,Spain,2017,3120435.612
ITA,ESP,Spain,2018,3566726.099
ITA,ESP,Spain,2019,3693688.429
ITA,ESP,Spain,2020,942639.255
ITA,ESP,Spain,2021,1648429.838
ITA,CHE,Switzerland,2008,1656491.786
ITA,CHE,Switzerland,2009,1617138.163
ITA,CHE,Switzerland,2010,1868876.824
ITA,CHE,Switzerland,2011,1825781.395
ITA,CHE,Switzerland,2012,1932831.011
ITA,CHE,Switzerland,2013,1651407.348
ITA,CHE,Switzerland,2014,1775916.037
ITA,CHE,Switzerland,2015,1643855.761
ITA,CHE,Switzerland,2016,1501698.073
ITA,CHE,Switzerland,2017,1564834.887
ITA,CHE,Switzerland,2018,1181984.911
ITA,CHE,Switzerland,2019,1192595.919
ITA,CHE,Switzerland,2020,596317.007
ITA,CHE,Switzerland,2021,526278.219
ITA,GBR,United Kingdom,2008,1280183.057
ITA,GBR,United Kingdom,2009,1375359.084
ITA,GBR,United Kingdom,2010,1220224.473
ITA,GBR,United Kingdom,2011,1378147.478
ITA,GBR,United Kingdom,2012,1475223.819
ITA,GBR,United Kingdom,2013,1476612.734
ITA,GBR,United Kingdom,2014,1458755.923
ITA,GBR,United Kingdom,2015,1525562.056
ITA,GBR,United Kingdom,2016,1777000.859
ITA,GBR,United Kingdom,2017,1738793.396
ITA,GBR,United Kingdom,2018,1787528.423
ITA,GBR,United Kingdom,2019,1823082.985
ITA,GBR,United Kingdom,2020,614033.481
ITA,GBR,United Kingdom,2021,258540.118
LUX,BEL,Belgium,2008,142301
LUX,BEL,Belgium,2009,181863
LUX,BEL,Belgium,2010,140431
LUX,BEL,Belgium,2011,183493
LUX,BEL,Belgium,2012,147830
LUX,BEL,Belgium,2013,154342
LUX,BEL,Belgium,2014,134815.247
LUX,BEL,Belgium,2015,106851.155
LUX,BEL,Belgium,2016,90530.139
LUX,BEL,Belgium,2017,180628
LUX,BEL,Belgium,2018,207875
LUX,BEL,Belgium,2019,217915
LUX,BEL,Belgium,2020,176695
LUX,BEL,Belgium,2021,196600
LUX,FRA,France,2008,342784
LUX,FRA,France,2009,385279
LUX,FRA,France,2010,346707
LUX,FRA,France,2011,363322
LUX,FRA,France,2012,362526
LUX,FRA,France,2013,384149
LUX,FRA,France,2014,322357.497
LUX,FRA,France,2015,305618.534
LUX,FRA,France,2016,255260.198
LUX,FRA,France,2017,465689
LUX,FRA,France,2018,489862
LUX,FRA,France,2019,493697
LUX,FRA,France,2020,378770
LUX,FRA,France,2021,471840
LUX,DEU,Germany,2008,261036
LUX,DEU,Germany,2009,288983
LUX,DEU,Germany,2010,287533
LUX,DEU,Germany,2011,301613
LUX,DEU,Germany,2012,255666
LUX,DEU,Germany,2013,272028
LUX,DEU,Germany,2014,271980.003
LUX,DEU,Germany,2015,271758.862
LUX,DEU,Germany,2016,253262.753
LUX,DEU,Germany,2017,326461
LUX,DEU,Germany,2018,330357
LUX,DEU,Germany,2019,373276
LUX,DEU,Germany,2020,200500
LUX,DEU,Germany,2021,196600
LUX,ITA,Italy,2008,102073
LUX,ITA,Italy,2009,122482
LUX,ITA,Italy,2010,99746
LUX,ITA,Italy,2011,104664
LUX,ITA,Italy,2012,114765
LUX,ITA,Italy,2013,97256
LUX,ITA,Italy,2014,107782.151
LUX,ITA,Italy,2015,93962.714
LUX,ITA,Italy,2016,107267.597
LUX,ITA,Italy,2017,175000
LUX,ITA,Italy,2018,232392
LUX,ITA,Italy,2019,211988
LUX,ITA,Italy,2020,100079
LUX,ITA,Italy,2021,137620
LUX,ESP,Spain,2008,99093
LUX,ESP,Spain,2009,98307
LUX,ESP,Spain,2010,92413
LUX,ESP,Spain,2011,98198
LUX,ESP,Spain,2012,112350
LUX,ESP,Spain,2013,102035
LUX,ESP,Spain,2014,128291.977
LUX,ESP,Spain,2015,112886.972
LUX,ESP,Spain,2016,119212.42
LUX,ESP,Spain,2017,177005
LUX,ESP,Spain,2018,174597
LUX,ESP,Spain,2019,181412
LUX,ESP,Spain,2020,90856
LUX,ESP,Spain,2021,157280
NLD,AUT,Austria,2008,1098000
NLD,AUT,Austria,2009,1202000
NLD,AUT,Austria,2010,1168000
NLD,AUT,Austria,2011,1176000
NLD,AUT,Austria,2012,1233000
NLD,AUT,Austria,2013,1178000
NLD,AUT,Austria,2014,1113000
NLD,AUT,Austria,2015,1157000
NLD,AUT,Austria,2016,1104000
NLD,AUT,Austria,2017,1126000
NLD,AUT,Austria,2018,1211000
NLD,AUT,Austria,2019,1299000
NLD,AUT,Austria,2020,1064000
NLD,AUT,Austria,2021,602000
NLD,BEL,Belgium,2008,1970000
NLD,BEL,Belgium,2009,1990000
NLD,BEL,Belgium,2010,1996000
NLD,BEL,Belgium,2011,1972000
NLD,BEL,Belgium,2012,1811000
NLD,BEL,Belgium,2013,1766000
NLD,BEL,Belgium,2014,1425000
NLD,BEL,Belgium,2015,1430000
NLD,BEL,Belgium,2016,1341000
NLD,BEL,Belgium,2017,1628000
NLD,BEL,Belgium,2018,1579000
NLD,BEL,Belgium,2019,1787000
NLD,BEL,Belgium,2020,1030000
NLD,BEL,Belgium,2021,1113000
NLD,FRA,France,2008,2904000
NLD,FRA,France,2009,2824000
NLD,FRA,France,2010,2856000
NLD,FRA,France,2011,2951000
NLD,FRA,France,2012,2798000
NLD,FRA,France,2013,2677000
NLD,FRA,France,2014,2606000
NLD,FRA,France,2015,2615000
NLD,FRA,France,2016,2550000
NLD,FRA,France,2017,2807000
NLD,FRA,France,2018,2876000
NLD,FRA,France,2019,2692000
NLD,FRA,France,2020,1517000
NLD,FRA,France,2021,2032000
NLD,DEU,Germany,2008,2996000
NLD,DEU,Germany,2009,3517000
NLD,DEU,Germany,2010,3233000
NLD,DEU,Germany,2011,3325000
NLD,DEU,Germany,2012,3400000
NLD,DEU,Germany,2013,3183000
NLD,DEU,Germany,2014,3377000
NLD,DEU,Germany,2015,3375000
NLD,DEU,Germany,2016,3519000
NLD,DEU,Germany,2017,3785000
NLD,DEU,Germany,2018,3789000
NLD,DEU,Germany,2019,3734000
NLD,DEU,Germany,2020,2570000
NLD,DEU,Germany,2021,1574000
NLD,ESP,Spain,2008,1847000
NLD,ESP,Spain,2009,1555000
NLD,ESP,Spain,2010,1572000
NLD,ESP,Spain,2011,1773000
NLD,ESP,Spain,2012,1796000
NLD,ESP,Spain,2013,1759000
NLD,ESP,Spain,2014,1856000
NLD,ESP,Spain,2015,1969000
NLD,ESP,Spain,2016,2177000
NLD,ESP,Spain,2017,2695000
NLD,ESP,Spain,2018,2621000
NLD,ESP,Spain,2019,2583000
NLD,ESP,Spain,2020,993000
NLD,ESP,Spain,2021,1096000
NZL,AUS,Australia,2008,949624
NZL,AUS,Australia,2009,944277
NZL,AUS,Australia,2010,976301
NZL,AUS,Australia,2011,974330
NZL,AUS,Australia,2012,989880
NZL,AUS,Australia,2013,1017540
NZL,AUS,Australia,2014,1091220
NZL,AUS,Australia,2015,1136900
NZL,AUS,Australia,2016,1176140
NZL,AUS,Australia,2017,1221760
NZL,AUS,Australia,2018,1205404
NZL,AUS,Australia,2019,1250418
NZL,FJI,Fiji,2008,99346
NZL,FJI,Fiji,2009,92283
NZL,FJI,Fiji,2010,96967
NZL,FJI,Fiji,2011,101457
NZL,FJI,Fiji,2012,104720
NZL,FJI,Fiji,2013,112260
NZL,FJI,Fiji,2014,130080
NZL,FJI,Fiji,2015,145980
NZL,FJI,Fiji,2016,159540
NZL,FJI,Fiji,2017,176395
NZL,FJI,Fiji,2018,191614
NZL,FJI,Fiji,2019,190543
NZL,CHN,China,2008,58885
NZL,CHN,China,2009,56289
NZL,CHN,China,2010,64304
NZL,CHN,China,2011,68242
NZL,CHN,China,2012,66040
NZL,CHN,China,2013,73340
NZL,CHN,China,2014,76860
NZL,CHN,China,2015,85980
NZL,CHN,China,2016,101180
NZL,CHN,China,2017,121080
NZL,CHN,China,2018,132416
NZL,CHN,China,2019,141571
NZL,GBR,United Kingdom,2008,93071
NZL,GBR,United Kingdom,2009,87397
NZL,GBR,United Kingdom,2010,92294
NZL,GBR,United Kingdom,2011,92891
NZL,GBR,United Kingdom,2012,95560
NZL,GBR,United Kingdom,2013,96680
NZL,GBR,United Kingdom,2014,101420
NZL,GBR,United Kingdom,2015,112140
NZL,GBR,United Kingdom,2016,110000
NZL,GBR,United Kingdom,2017,123140
NZL,GBR,United Kingdom,2018,124801
NZL,GBR,United Kingdom,2019,128943
NZL,USA,United States,2008,93319
NZL,USA,United States,2009,88050
NZL,USA,United States,2010,98920
NZL,USA,United States,2011,104359
NZL,USA,United States,2012,121620
NZL,USA,United States,2013,142200
NZL,USA,United States,2014,164760
NZL,USA,United States,2015,176980
NZL,USA,United States,2016,197000
NZL,USA,United States,2017,204160
NZL,USA,United States,2018,214943
NZL,USA,United States,2019,205552
ESP,PRT,Portugal,2008,1396541.181
ESP,PRT,Portugal,2009,1371442.377
ESP,PRT,Portugal,2010,1492908.819
ESP,PRT,Portugal,2011,1633718.669
ESP,PRT,Portugal,2012,1362530.053
ESP,PRT,Portugal,2013,1334691.164
ESP,PRT,Portugal,2014,1503014.125
ESP,PRT,Portugal,2015,1669746
ESP,PRT,Portugal,2016,1650105
ESP,PRT,Portugal,2017,2086134
ESP,PRT,Portugal,2018,2281792
ESP,PRT,Portugal,2019,2355460
ESP,PRT,Portugal,2020,796042
ESP,PRT,Portugal,2021,1066384
ESP,MAR,Morocco,2008,591525.182
ESP,MAR,Morocco,2009,809821.288
ESP,MAR,Morocco,2010,868997.316
ESP,MAR,Morocco,2011,821285.05
ESP,MAR,Morocco,2012,808931.26
ESP,MAR,Morocco,2013,835232.301
ESP,MAR,Morocco,2014,895237.813
ESP,MAR,Morocco,2015,577381
ESP,MAR,Morocco,2016,607677
ESP,MAR,Morocco,2017,751546
ESP,MAR,Morocco,2018,820407
ESP,MAR,Morocco,2019,831378
ESP,MAR,Morocco,2020,145478
ESP,MAR,Morocco,2021,204733
ESP,FRA,France,2008,2393511.341
ESP,FRA,France,2009,2375012.342
ESP,FRA,France,2010,2270324.694
ESP,FRA,France,2011,2423234.257
ESP,FRA,France,2012,2420997.715
ESP,FRA,France,2013,1868164.703
ESP,FRA,France,2014,2123701.196
ESP,FRA,France,2015,1835837
ESP,FRA,France,2016,2146534
ESP,FRA,France,2017,2461681
ESP,FRA,France,2018,2410440
ESP,FRA,France,2019,2559620
ESP,FRA,France,2020,690973
ESP,FRA,France,2021,1101690
ESP,ITA,Italy,2008,999145
ESP,ITA,Italy,2009,1123934.061
ESP,ITA,Italy,2010,1351102.712
ESP,ITA,Italy,2011,1515857.658
ESP,ITA,Italy,2012,1309747.052
ESP,ITA,Italy,2013,1106849.842
ESP,ITA,Italy,2014,1207276.313
ESP,ITA,Italy,2015,1262857
ESP,ITA,Italy,2016,1450755
ESP,ITA,Italy,2017,1291884
ESP,ITA,Italy,2018,1859573
ESP,ITA,Italy,2019,1894788
ESP,ITA,Italy,2020,328290
ESP,ITA,Italy,2021,761366
ESP,GBR,United Kingdom,2008,720471.286
ESP,GBR,United Kingdom,2009,857650.692
ESP,GBR,United Kingdom,2010,898547.088
ESP,GBR,United Kingdom,2011,1145977.442
ESP,GBR,United Kingdom,2012,900173.07
ESP,GBR,United Kingdom,2013,995140.313
ESP,GBR,United Kingdom,2014,992759.771
ESP,GBR,United Kingdom,2015,1188048
ESP,GBR,United Kingdom,2016,1299357
ESP,GBR,United Kingdom,2017,1388142
ESP,GBR,United Kingdom,2018,1465069
ESP,GBR,United Kingdom,2019,1487412
ESP,GBR,United Kingdom,2020,332393
ESP,GBR,United Kingdom,2021,217562
CHE,AUT,Austria,2008,825421.8
CHE,AUT,Austria,2009,942307.17
CHE,AUT,Austria,2010,762570.14
CHE,AUT,Austria,2011,839333.09
CHE,AUT,Austria,2012,949497.16
CHE,AUT,Austria,2013,980739.42
CHE,AUT,Austria,2014,1019018.4
CHE,AUT,Austria,2015,1090662.61
CHE,AUT,Austria,2016,960121.55
CHE,AUT,Austria,2017,1062012.23
CHE,AUT,Austria,2018,1078269.39
CHE,AUT,Austria,2019,939608.52
CHE,AUT,Austria,2020,628559.33
CHE,FRA,France,2008,1870208.76
CHE,FRA,France,2009,1763777.86
CHE,FRA,France,2010,1267016.44
CHE,FRA,France,2011,1625156.72
CHE,FRA,France,2012,2042210.7
CHE,FRA,France,2013,2247137.82
CHE,FRA,France,2014,2002936.55
CHE,FRA,France,2015,2244104.79
CHE,FRA,France,2016,1912558.97
CHE,FRA,France,2017,3213196.55
CHE,FRA,France,2018,2440975.88
CHE,FRA,France,2019,1884993.17
CHE,FRA,France,2020,1178253.28
CHE,DEU,Germany,2008,2775834.83
CHE,DEU,Germany,2009,2011384.16
CHE,DEU,Germany,2010,1911319.83
CHE,DEU,Germany,2011,1721683.98
CHE,DEU,Germany,2012,3052943.68
CHE,DEU,Germany,2013,2952072.48
CHE,DEU,Germany,2014,2638610.05
CHE,DEU,Germany,2015,2938768.82
CHE,DEU,Germany,2016,2979819.25
CHE,DEU,Germany,2017,2765580.75
CHE,DEU,Germany,2018,3134835.17
CHE,DEU,Germany,2019,2815718.61
CHE,DEU,Germany,2020,1474242.31
CHE,ITA,Italy,2008,1690789.41
CHE,ITA,Italy,2009,1737708.41
CHE,ITA,Italy,2010,2059734.18
CHE,ITA,Italy,2011,1904691.56
CHE,ITA,Italy,2012,2091157.02
CHE,ITA,Italy,2013,1950528.22
CHE,ITA,Italy,2014,2556547.16
CHE,ITA,Italy,2015,2807996.81
CHE,ITA,Italy,2016,2729937.69
CHE,ITA,Italy,2017,2868275.63
CHE,ITA,Italy,2018,2964077.76
CHE,ITA,Italy,2019,2594061.82
CHE,ITA,Italy,2020,1487177.63
BRA,ARG,Argentina,2008,873794
BRA,ARG,Argentina,2009,718203
BRA,ARG,Argentina,2010,1196832
BRA,ARG,Argentina,2011,1282374
BRA,ARG,Argentina,2012,1217374
BRA,ARG,Argentina,2013,972594
BRA,ARG,Argentina,2014,1081838
BRA,ARG,Argentina,2015,962610
BRA,ARG,Argentina,2016,1084181
BRA,ARG,Argentina,2017,1246552
BRA,ARG,Argentina,2018,946776
BRA,PRT,Portugal,2008,306228
BRA,PRT,Portugal,2009,268913
BRA,PRT,Portugal,2010,363871
BRA,PRT,Portugal,2011,440787
BRA,PRT,Portugal,2012,479115
BRA,PRT,Portugal,2013,504473
BRA,PRT,Portugal,2014,561564
BRA,PRT,Portugal,2015,605353
BRA,PRT,Portugal,2016,689801
BRA,PRT,Portugal,2017,980806
BRA,PRT,Portugal,2018,1116799
BRA,ESP,Spain,2008,226111
BRA,ESP,Spain,2009,227731
BRA,ESP,Spain,2010,241214
BRA,ESP,Spain,2011,369909
BRA,ESP,Spain,2012,410182
BRA,ESP,Spain,2013,392231
BRA,ESP,Spain,2014,440781
BRA,ESP,Spain,2015,455868
BRA,ESP,Spain,2016,372759
BRA,ESP,Spain,2017,467508.441
BRA,ESP,Spain,2018,558674
BRA,USA,United States,2008,769232
BRA,USA,United States,2009,892611
BRA,USA,United States,2010,1197866
BRA,USA,United States,2011,1508279
BRA,USA,United States,2012,1791103
BRA,USA,United States,2013,2060291
BRA,USA,United States,2014,2263996
BRA,USA,United States,2015,2228291
BRA,USA,United States,2016,1725479
BRA,USA,United States,2017,1912447
BRA,USA,United States,2018,2209372
BRA,URY,Uruguay,2008,300791
