Abbreviation,Variable,Year,Value
MEX,Overnight visitors (tourists),2015,85938509.49
MEX,Overnight visitors (tourists),2016,89874177.43
MEX,Overnight visitors (tourists),2017,95600435.97
MEX,Overnight visitors (tourists),2018,100444598.3
MEX,Overnight visitors (tourists),2019,101749155
MEX,Overnight visitors (tourists),2020,48042199.14
NLD,Overnight visitors (tourists),2012,21147000
NLD,Overnight visitors (tourists),2013,21267000
NLD,Overnight visitors (tourists),2014,21931000
NLD,Overnight visitors (tourists),2015,22311000
NLD,Overnight visitors (tourists),2016,23054000
NLD,Overnight visitors (tourists),2017,24311000
NLD,Overnight visitors (tourists),2018,25132000
NLD,Overnight visitors (tourists),2019,25787000
NLD,Overnight visitors (tourists),2020,20035000
NLD,Overnight visitors (tourists),2021,25472000
NZL,Overnight visitors (tourists),2011,17681000
NZL,Overnight visitors (tourists),2012,16559000
NOR,Overnight visitors (tourists),2017,12929248
NOR,Overnight visitors (tourists),2018,12840875
NOR,Overnight visitors (tourists),2019,13121979
NOR,Overnight visitors (tourists),2020,10034858
NOR,Overnight visitors (tourists),2021,11149706
NOR,Overnight visitors (tourists),2011,14160000
NOR,Overnight visitors (tourists),2012,13280000
NOR,Overnight visitors (tourists),2013,15060000
NOR,Overnight visitors (tourists),2014,15450000
NOR,Overnight visitors (tourists),2015,13700000
NOR,Overnight visitors (tourists),2016,13840000
NOR,Overnight visitors (tourists),2017,15080000
NOR,Overnight visitors (tourists),2018,18970000
NOR,Overnight visitors (tourists),2019,14710000
NOR,Overnight visitors (tourists),2020,16580000
NOR,Overnight visitors (tourists),2021,20450000
POL,Overnight visitors (tourists),2011,17067066
POL,Overnight visitors (tourists),2012,17656000
POL,Overnight visitors (tourists),2013,18158000
POL,Overnight visitors (tourists),2014,19614000
POL,Overnight visitors (tourists),2015,21252000
POL,Overnight visitors (tourists),2016,23730000
POL,Overnight visitors (tourists),2017,25185677
POL,Overnight visitors (tourists),2018,26813699
POL,Overnight visitors (tourists),2019,28197545
POL,Overnight visitors (tourists),2020,15615208
POL,Overnight visitors (tourists),2021,19689140
POL,Overnight visitors (tourists),2014,38387000
POL,Overnight visitors (tourists),2015,39870000
POL,Overnight visitors (tourists),2016,43600000
POL,Overnight visitors (tourists),2017,45952310
POL,Overnight visitors (tourists),2018,47736330
POL,Overnight visitors (tourists),2019,50018235
POL,Overnight visitors (tourists),2020,38570417
POL,Overnight visitors (tourists),2021,46277647
POL,Same-day visitors (excursionists),2018,48236769
POL,Same-day visitors (excursionists),2021,34393280.11
PRT,Overnight visitors (tourists),2013,16370900
PRT,Overnight visitors (tourists),2014,16263100
PRT,Overnight visitors (tourists),2015,17253700
PRT,Overnight visitors (tourists),2016,18241300
PRT,Overnight visitors (tourists),2017,18993300
PRT,Overnight visitors (tourists),2018,19593311
PRT,Overnight visitors (tourists),2019,21362618
PRT,Overnight visitors (tourists),2020,13729792
PRT,Overnight visitors (tourists),2021,16506230
SVK,Overnight visitors (tourists),2011,5912197
SVK,Overnight visitors (tourists),2012,4788961
SVK,Overnight visitors (tourists),2013,5524581
SVK,Overnight visitors (tourists),2014,5770957
SVK,Overnight visitors (tourists),2015,6515659
SVK,Overnight visitors (tourists),2016,7840897
SVK,Overnight visitors (tourists),2017,8283525
SVK,Overnight visitors (tourists),2018,9397200
SVK,Overnight visitors (tourists),2019,10348282
SVK,Same-day visitors (excursionists),2011,6015664
SVK,Same-day visitors (excursionists),2012,5333815
SVK,Same-day visitors (excursionists),2013,21160051
SVK,Same-day visitors (excursionists),2014,22468121
SVK,Same-day visitors (excursionists),2015,27055829
SVK,Same-day visitors (excursionists),2016,28582787
SVK,Same-day visitors (excursionists),2017,25258455
SVK,Same-day visitors (excursionists),2018,27863041
SVK,Same-day visitors (excursionists),2019,35086897
ESP,Overnight visitors (tourists),2011,55430808
ESP,Overnight visitors (tourists),2012,52308531
ESP,Overnight visitors (tourists),2013,51874205
ESP,Overnight visitors (tourists),2014,55185879
ESP,Overnight visitors (tourists),2015,59021796
ESP,Overnight visitors (tourists),2016,62201440
ESP,Overnight visitors (tourists),2017,64169248
ESP,Overnight visitors (tourists),2018,65032678
ESP,Overnight visitors (tourists),2019,67280172
ESP,Overnight visitors (tourists),2020,32225394
ESP,Overnight visitors (tourists),2021,54801892.14
ESP,Overnight visitors (tourists),2011,147407636
ESP,Overnight visitors (tourists),2012,148369375.9
ESP,Overnight visitors (tourists),2013,144527251.7
ESP,Overnight visitors (tourists),2014,139614604.9
ESP,Overnight visitors (tourists),2015,123922961
ESP,Overnight visitors (tourists),2016,132200905
ESP,Overnight visitors (tourists),2017,138356812
ESP,Overnight visitors (tourists),2018,139931200
ESP,Overnight visitors (tourists),2019,137191009
ESP,Overnight visitors (tourists),2020,74749663
ESP,Overnight visitors (tourists),2021,107727044
ESP,Same-day visitors (excursionists),2011,200287486.4
ESP,Same-day visitors (excursionists),2012,224441827.8
ESP,Same-day visitors (excursionists),2013,253895701.8
ESP,Same-day visitors (excursionists),2014,323146211
ESP,Same-day visitors (excursionists),2015,221676141
ESP,Same-day visitors (excursionists),2016,238195864
ESP,Same-day visitors (excursionists),2017,280332355
ESP,Same-day visitors (excursionists),2018,285520942
ESP,Same-day visitors (excursionists),2019,257619303
ESP,Same-day visitors (excursionists),2020,160339793
ESP,Same-day visitors (excursionists),2021,212971414.8
SWE,Overnight visitors (tourists),2017,37316000
SWE,Overnight visitors (tourists),2018,35686000
SWE,Overnight visitors (tourists),2019,36891000
SWE,Overnight visitors (tourists),2020,49831000
SWE,Overnight visitors (tourists),2021,51185000
SWE,Same-day visitors (excursionists),2017,16900000
SWE,Same-day visitors (excursionists),2018,20194000
SWE,Same-day visitors (excursionists),2019,19280000
SWE,Same-day visitors (excursionists),2020,78961000
SWE,Same-day visitors (excursionists),2021,71484000
CHE,Overnight visitors (tourists),2011,5779139
CHE,Overnight visitors (tourists),2012,7416629
CHE,Overnight visitors (tourists),2013,8648181
CHE,Overnight visitors (tourists),2014,7732299
CHE,Overnight visitors (tourists),2015,7830138
CHE,Overnight visitors (tourists),2016,7465323.69
CHE,Overnight visitors (tourists),2017,8231093.02
CHE,Overnight visitors (tourists),2018,8201038.83
CHE,Overnight visitors (tourists),2019,7765446.57
CHE,Overnight visitors (tourists),2020,8319215.71
CHE,Same-day visitors (excursionists),2011,55340305.09
CHE,Same-day visitors (excursionists),2012,62723368.06
CHE,Same-day visitors (excursionists),2013,67986668.64
CHE,Same-day visitors (excursionists),2014,68268078.3
CHE,Same-day visitors (excursionists),2015,70219579.45
CHE,Same-day visitors (excursionists),2016,68908754.2
CHE,Same-day visitors (excursionists),2017,68078358.82
CHE,Same-day visitors (excursionists),2018,71819301.79
CHE,Same-day visitors (excursionists),2019,70551392.49
CHE,Same-day visitors (excursionists),2020,54631600.31
TUR,Overnight visitors (tourists),2011,29915000
TUR,Overnight visitors (tourists),2012,31952000
TUR,Overnight visitors (tourists),2013,32689000
TUR,Overnight visitors (tourists),2014,35708000
TUR,Overnight visitors (tourists),2015,40314000
TUR,Overnight visitors (tourists),2016,41336000
TUR,Overnight visitors (tourists),2017,39024000
TUR,Overnight visitors (tourists),2018,40822111
TUR,Overnight visitors (tourists),2019,42012998
TUR,Overnight visitors (tourists),2020,29084857
TUR,Overnight visitors (tourists),2021,42216013
TUR,Overnight visitors (tourists),2011,65854000
TUR,Overnight visitors (tourists),2012,64922000
TUR,Overnight visitors (tourists),2013,68452000
TUR,Overnight visitors (tourists),2014,70894000
TUR,Overnight visitors (tourists),2015,71251000
TUR,Overnight visitors (tourists),2016,68450000
TUR,Overnight visitors (tourists),2017,77179000
TUR,Overnight visitors (tourists),2018,78523000
TUR,Overnight visitors (tourists),2019,78202000
TUR,Overnight visitors (tourists),2020,42847000
TUR,Overnight visitors (tourists),2021,52774000
TUR,Same-day visitors (excursionists),2011,38317000
TUR,Same-day visitors (excursionists),2012,41304000
TUR,Same-day visitors (excursionists),2013,43709000
TUR,Same-day visitors (excursionists),2014,44194000
TUR,Same-day visitors (excursionists),2015,44130000
TUR,Same-day visitors (excursionists),2016,38051000
TUR,Same-day visitors (excursionists),2017,43693000
TUR,Same-day visitors (excursionists),2018,47923000
TUR,Same-day visitors (excursionists),2019,46437000
TUR,Same-day visitors (excursionists),2020,24295000
TUR,Same-day visitors (excursionists),2021,23109000
GBR,Overnight visitors (tourists),2011,126635000
GBR,Overnight visitors (tourists),2012,126019000
GBR,Overnight visitors (tourists),2013,122910000
GBR,Overnight visitors (tourists),2014,114240000
GBR,Overnight visitors (tourists),2015,125162000
GBR,Overnight visitors (tourists),2016,119455000
GBR,Overnight visitors (tourists),2017,120680000
GBR,Overnight visitors (tourists),2018,118600000
GBR,Overnight visitors (tourists),2019,122780000
GBR,Same-day visitors (excursionists),2011,1542000000
GBR,Same-day visitors (excursionists),2012,1710000000
GBR,Same-day visitors (excursionists),2013,1588000000
GBR,Same-day visitors (excursionists),2014,1585000000
GBR,Same-day visitors (excursionists),2015,1754000000
GBR,Same-day visitors (excursionists),2016,1834200000
GBR,Same-day visitors (excursionists),2017,1793400000
GBR,Same-day visitors (excursionists),2018,1703000000
GBR,Same-day visitors (excursionists),2019,1653000000
USA,Overnight visitors (tourists),2011,1378275000
USA,Overnight visitors (tourists),2012,1400907000
USA,Overnight visitors (tourists),2013,1421124000
USA,Overnight visitors (tourists),2014,1455417000
USA,Overnight visitors (tourists),2015,1525090000
USA,Overnight visitors (tourists),2016,1565652240
USA,Overnight visitors (tourists),2017,1591915864
USA,Overnight visitors (tourists),2018,1613986928
USA,Overnight visitors (tourists),2019,1646613553
USA,Overnight visitors (tourists),2020,1122368168
USA,Overnight visitors (tourists),2021,1449133584
USA,Same-day visitors (excursionists),2011,619225000
USA,Same-day visitors (excursionists),2012,629393000
USA,Same-day visitors (excursionists),2013,638476000
USA,Same-day visitors (excursionists),2014,653883000
USA,Same-day visitors (excursionists),2015,653610000
USA,Same-day visitors (excursionists),2016,639491760
USA,Same-day visitors (excursionists),2017,649084136.4
USA,Same-day visitors (excursionists),2018,664013071.5
USA,Same-day visitors (excursionists),2019,671386447.2
USA,Same-day visitors (excursionists),2020,457631832
USA,Same-day visitors (excursionists),2021,590866416
ARG,Overnight visitors (tourists),2011,15248266
ARG,Overnight visitors (tourists),2012,15383644
BGR,Overnight visitors (tourists),2011,2623000
BGR,Overnight visitors (tourists),2012,2862000
BGR,Overnight visitors (tourists),2013,3026616
BGR,Overnight visitors (tourists),2014,3154330
BGR,Overnight visitors (tourists),2015,3414665
BGR,Overnight visitors (tourists),2016,3809465
BGR,Overnight visitors (tourists),2017,3805816
BGR,Overnight visitors (tourists),2018,3889521
BGR,Overnight visitors (tourists),2019,4120284
BGR,Overnight visitors (tourists),2020,2847984
BGR,Overnight visitors (tourists),2021,3754603
CHL,Overnight visitors (tourists),2015,21813000
CHL,Overnight visitors (tourists),2016,45409099.51
CHL,Overnight visitors (tourists),2017,46016375.86
CHL,Overnight visitors (tourists),2018,52973666.01
CHL,Overnight visitors (tourists),2019,53748581.13
CHL,Overnight visitors (tourists),2020,39322783.87
CHL,Overnight visitors (tourists),2021,49062196.18
CHL,Same-day visitors (excursionists),2016,17570984.09
CHL,Same-day visitors (excursionists),2017,17756410.41
CHL,Same-day visitors (excursionists),2018,20370042.22
CHL,Same-day visitors (excursionists),2019,20710737.32
CHL,Same-day visitors (excursionists),2020,15102452.35
CHL,Same-day visitors (excursionists),2021,19315126.64
HRV,Overnight visitors (tourists),2011,6010000
HRV,Overnight visitors (tourists),2012,6056000
HRV,Overnight visitors (tourists),2013,6225000
HRV,Overnight visitors (tourists),2014,5411000
HRV,Overnight visitors (tourists),2015,4040000
HRV,Overnight visitors (tourists),2016,2926000
HRV,Overnight visitors (tourists),2017,3638000
HRV,Overnight visitors (tourists),2018,3197000
HRV,Overnight visitors (tourists),2019,3708000
HRV,Overnight visitors (tourists),2020,2510250
HRV,Overnight visitors (tourists),2021,3278070
HRV,Same-day visitors (excursionists),2011,8842000
HRV,Same-day visitors (excursionists),2012,9032000
HRV,Same-day visitors (excursionists),2013,9618000
HRV,Same-day visitors (excursionists),2014,11104000
HRV,Same-day visitors (excursionists),2015,8155000
HRV,Same-day visitors (excursionists),2016,5877000
HRV,Same-day visitors (excursionists),2017,2976000
